Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,3,24,0,0.000217,0.0002206
ALL,1,8,19,0,5.2005,22.030799999999992
ALL,2,20,7,0,1.7565,16.06090000000003
ALL,3,25,2,0,1.637,34.3197999999999
ALL,4,19,8,0,0.001197,11.017460899999783
ALL,5,27,0,0,0.004292,6.132354299999999
Geant2004,0,0,4,0,,
Geant2004,1,0,4,0,,
Geant2004,2,1,3,0,53.375,53.375
Geant2004,3,4,0,0,0.0235,0.9878499999999995
Geant2004,4,4,0,0,0.0005715,0.0025774499999999994
Geant2004,5,4,0,0,0.0021045,0.004168399999999999
IEEE-118,0,0,4,0,,
IEEE-118,1,0,4,0,,
IEEE-118,2,0,4,0,,
IEEE-118,3,2,2,0,151.98000000000002,252.16530000000003
IEEE-118,4,4,0,0,0.0006364999999999999,0.011589099999999995
IEEE-118,5,4,0,0,0.0007425,0.011533499999999995
K4,0,3,0,0,0.000217,0.0002206
K4,1,3,0,0,0.000315,0.00044459999999999996
K4,2,3,0,0,0.000238,0.0002389
K4,3,3,0,0,0.000266,0.00031640000000000005
K4,4,3,0,0,6e-05,0.00015539999999999998
K4,5,3,0,0,2.9e-05,0.00011719999999999999
sausage,0,0,16,0,,
sausage,1,5,11,0,9.748,24.000599999999995
sausage,2,16,0,0,2.1685,11.2455
sausage,3,16,0,0,2.5484999999999998,8.587
sausage,4,8,8,0,0.242673,66.94409484999996
sausage,5,16,0,0,1.2389175000000001,6.798378
